t	x	y
4.198889E0	2.194484E2	2.343891E2
4.232211E0	1.759387E2	2.550877E2
4.265533E0	1.421387E2	2.726398E2
4.298856E0	9.412425E1	2.825214E2
4.332189E0	4.009024E1	2.828664E2
4.365511E0	-1.020160E1	2.786144E2
4.398833E0	-5.627245E1	2.669192E2
4.432156E0	-1.061342E2	2.489494E2
4.465478E0	-1.423814E2	2.265753E2
4.498811E0	-1.789677E2	1.952964E2
4.532133E0	-2.117169E2	1.607734E2
4.565456E0	-2.331971E2	1.251987E2
4.598778E0	-2.496175E2	8.390326E1
4.632111E0	-2.458514E2	5.270267E1
4.665433E0	-2.417917E2	1.262031E1
4.698756E0	-2.295063E2	-2.386094E1
4.732078E0	-2.016152E2	-5.139680E1
4.765400E0	-1.688236E2	-7.970536E1
4.798733E0	-1.324318E2	-1.032290E2
4.832056E0	-9.184749E1	-1.193345E2
4.865378E0	-4.363333E1	-1.293844E2
4.898700E0	4.359307E0	-1.314728E2
4.932022E0	5.140318E1	-1.291507E2
4.965356E0	9.869975E1	-1.175080E2
4.998678E0	1.512796E2	-9.915195E1
5.032000E0	1.858180E2	-7.941381E1
5.065322E0	2.137434E2	-5.115061E1
5.098644E0	2.619199E2	-1.534711E1
5.131978E0	2.837260E2	1.843785E1
5.165300E0	2.997010E2	5.456889E1
5.198622E0	3.064526E2	9.056718E1
5.231944E0	2.901351E2	1.161810E2
5.265267E0	2.787381E2	1.555797E2
5.298600E0	2.636436E2	1.846477E2
5.331922E0	2.330714E2	2.167986E2
5.365244E0	1.999476E2	2.429406E2
5.398567E0	1.783113E2	2.630548E2
5.431889E0	1.333486E2	2.768250E2
5.465222E0	8.847184E1	2.856834E2
5.498544E0	3.295325E1	2.828343E2
5.531867E0	-1.599650E1	2.764541E2
5.565189E0	-7.002166E1	2.622393E2
5.598511E0	-1.139316E2	2.388434E2
5.631844E0	-1.555966E2	2.149609E2
5.665167E0	-1.857771E2	1.826881E2
5.698489E0	-2.129971E2	1.484772E2
5.731811E0	-2.387630E2	1.105764E2
5.765144E0	-2.374396E2	8.086706E1
5.798467E0	-2.421013E2	4.071657E1
5.831789E0	-2.369084E2	4.287011E0
5.865111E0	-2.153541E2	-2.950594E1
5.898433E0	-1.906687E2	-6.138854E1
5.931756E0	-1.600265E2	-8.747351E1
5.965089E0	-1.252448E2	-1.091304E2
5.998411E0	-7.958791E1	-1.232922E2
6.031733E0	-4.013690E1	-1.332880E2
6.065056E0	1.081056E1	-1.332603E2
6.098389E0	5.960541E1	-1.257961E2
6.131711E0	1.035737E2	-1.145720E2
6.165033E0	1.573067E2	-9.242941E1
6.198356E0	2.000369E2	-6.761865E1
6.231678E0	2.340865E2	-3.917016E1
6.265011E0	2.639419E2	-5.668272E0
6.298333E0	2.829720E2	2.850287E1
6.331656E0	2.993320E2	6.633448E1
6.364978E0	3.012566E2	1.029779E2
6.398300E0	2.842840E2	1.276273E2
6.431633E0	2.837801E2	1.673929E2
6.464956E0	2.479656E2	1.964848E2
6.498278E0	2.275294E2	2.234431E2
6.531600E0	1.928672E2	2.458057E2
6.564922E0	1.558810E2	2.665456E2
6.598256E0	1.156037E2	2.783631E2
6.631578E0	7.820815E1	2.845305E2
6.664900E0	3.212530E1	2.846470E2
6.698222E0	-2.835447E1	2.718290E2
6.731544E0	-7.643902E1	2.553440E2
6.764878E0	-1.126303E2	2.365467E2
6.798200E0	-1.516647E2	2.085436E2
6.831522E0	-1.907038E2	1.708632E2
6.864844E0	-2.148483E2	1.388604E2
6.898167E0	-2.260172E2	1.063524E2
6.931500E0	-2.387415E2	6.604926E1
6.964822E0	-2.384159E2	2.771849E1
6.998144E0	-2.321382E2	-9.685122E0
7.031467E0	-2.142485E2	-4.346527E1
7.064800E0	-1.888426E2	-7.316648E1
7.098122E0	-1.569592E2	-9.860739E1
7.131444E0	-1.161189E2	-1.156217E2
7.164767E0	-7.301429E1	-1.273818E2
7.198089E0	-2.574213E1	-1.315138E2
7.231422E0	2.009846E1	-1.314429E2
7.264744E0	7.124934E1	-1.231784E2
7.298067E0	1.132590E2	-1.091160E2
7.331389E0	1.657098E2	-8.521420E1
7.364711E0	2.017694E2	-6.130233E1
7.398044E0	2.384929E2	-2.936637E1
7.431367E0	2.665188E2	4.455422E0
7.464689E0	2.851764E2	4.079751E1
7.498011E0	2.943708E2	7.660994E1
7.531333E0	2.981286E2	1.110528E2
7.564667E0	2.941675E2	1.466657E2
7.597989E0	2.803442E2	1.806915E2
7.631311E0	2.626972E2	2.112992E2
7.664633E0	2.327912E2	2.351297E2
7.697956E0	2.002492E2	2.583591E2
7.731289E0	1.612320E2	2.747720E2
7.764611E0	1.174048E2	2.826644E2
7.797933E0	7.149169E1	2.864288E2
7.831256E0	2.002954E1	2.802260E2
7.864578E0	-3.658431E1	2.668056E2
7.897911E0	-8.244020E1	2.498831E2
7.931233E0	-1.213393E2	2.267316E2
7.964556E0	-1.587192E2	1.966439E2
7.997878E0	-1.955504E2	1.577387E2
8.031200E0	-2.185073E2	1.229027E2
8.064533E0	-2.340206E2	8.861561E1
8.097856E0	-2.342010E2	5.456850E1
8.131178E0	-2.340176E2	1.646249E1
8.164500E0	-2.228448E2	-1.913631E1
8.197833E0	-2.014859E2	-5.150480E1
8.231156E0	-1.782973E2	-7.945342E1
8.264478E0	-1.444669E2	-1.031878E2
8.297800E0	-1.027096E2	-1.190025E2
8.331122E0	-6.253293E1	-1.293022E2
8.364456E0	-1.135045E1	-1.315167E2
8.397778E0	3.483181E1	-1.277509E2
8.431100E0	8.261709E1	-1.175023E2
8.464422E0	1.286376E2	-1.011830E2
8.497744E0	1.714376E2	-7.937539E1
8.531078E0	2.131591E2	-4.932180E1
8.564400E0	2.430627E2	-1.941198E1
8.597722E0	2.644835E2	1.437496E1
8.631044E0	2.850714E2	5.065525E1
8.664367E0	2.939962E2	8.658796E1
8.697700E0	2.965170E2	1.244660E2
8.731022E0	2.766968E2	1.522902E2
8.764344E0	2.752357E2	1.908776E2
8.797667E0	2.388684E2	2.124056E2
8.830989E0	2.262364E2	2.445188E2
8.864322E0	1.906437E2	2.644598E2
8.897644E0	1.514535E2	2.789267E2
8.930967E0	1.070762E2	2.849615E2
8.964289E0	5.160290E1	2.828469E2
8.997611E0	6.631130E0	2.767556E2
9.030944E0	-3.791403E1	2.647037E2
9.064267E0	-8.582476E1	2.444908E2
9.097589E0	-1.253231E2	2.188145E2
9.130911E0	-1.647014E2	1.846750E2
9.164233E0	-1.934767E2	1.526870E2
9.197567E0	-2.158684E2	1.169449E2
9.230889E0	-2.241692E2	8.252269E1
9.264211E0	-2.316296E2	4.450264E1
9.297533E0	-2.296855E2	5.448605E0
9.330856E0	-2.192154E2	-2.975895E1
9.364189E0	-1.995810E2	-6.107781E1
9.397511E0	-1.712022E2	-8.914130E1
9.430833E0	-1.368616E2	-1.092936E2
9.464156E0	-9.691696E1	-1.251295E2
9.497478E0	-5.659051E1	-1.330415E2
9.530811E0	-9.184982E0	-1.334087E2
9.564133E0	4.543848E1	-1.256940E2
9.597456E0	8.060906E1	-1.172325E2
9.630778E0	1.232735E2	-9.819478E1
9.664111E0	1.733067E2	-7.223815E1
9.697433E0	1.959603E2	-4.576390E1
9.730756E0	2.433544E2	-9.346682E0
9.764078E0	2.633021E2	2.286764E1
9.797400E0	2.799538E2	5.845104E1
9.830733E0	2.918027E2	9.840476E1
9.864056E0	2.787759E2	1.254647E2
9.897378E0	2.713346E2	1.599529E2
9.930700E0	2.574524E2	1.933148E2
9.964022E0	2.321964E2	2.195245E2
9.997356E0	2.154982E2	2.523809E2
1.003068E1	1.804972E2	2.685439E2
1.006400E1	1.409803E2	2.801354E2
1.009732E1	9.269168E1	2.844029E2
1.013064E1	4.582527E1	2.823274E2
1.016398E1	-1.969667E0	2.744591E2
1.019730E1	-5.035054E1	2.587433E2
1.023062E1	-9.795362E1	2.365377E2
1.026394E1	-1.383055E2	2.063608E2
1.029727E1	-1.616413E2	1.826151E2
1.033060E1	-1.935386E2	1.458281E2
1.036392E1	-2.218515E2	1.023169E2
1.039724E1	-2.306973E2	6.449465E1
1.043057E1	-2.255706E2	3.436992E1
1.046389E1	-2.211469E2	-3.309551E0
